molecules,pkb
N=C(c1ccccc1)c1ccc(O)cc1,6.45
Cc1ccc([N+](=O)[O-])c2c(NCCCN(C)C)cc(-c3ccccc3)nc12,5.43
O=c1nc2[nH]cnc2c[nH]1,8.43
COc1cc([S+](C)[O-])ccc1-c1nc2ccncc2[nH]1,6.16
CC1CCN(C(C)C=C(c2cccs2)c2cccs2)CC1,8.2
Nc1c2[nH]cnc2nc[n+]1[O-],2.6
O=C(O)c1cccc(O)c1,-1.01
O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)OCCCCN1CCOCC1,8.4
NCc1ccccc1[N+](=O)[O-],8.59
Nc1ccc(C=Cc2cc(N)c3ccccc3n2)cc1,9.5
COc1ccc2c(c1)[nH]c1c(C)nccc12,7.73
COCCNc1ccc(OC)cc1,5.02
Cc1cccc2[nH]cnc12,5.67
C[n+]1ccccc1-c1ccccn1,0.31
c1ccc(-c2cc[nH]n2)nc1,4.46
ON=Cc1cccnc1,3.94
NC(=O)C(c1ccccc1)c1ccccn1,3.8
CCCN(CCC)c1ccccc1,6.13
OC1(c2ccco2)CN2CCC1CC2,9.06
CCCN(CCC)Cc1ccccc1O,8.3
NCc1cccc(O)c1,9.06
C[Si](C)(C)OC1CN(Cc2ccc(Cl)cc2)C1,7.72
CSc1cccnc1,4.45
O=C(O)C1CC(O)CN1,9.64
CC(C)C12CNC(C(=O)O)C1CC(=O)O2,7.8
CCOCCn1c(N2CCCN(CCCCn3cccn3)CC2)nc2ccccc21,8.5
O=Cc1ccc(-c2ncc(-c3ccccc3)o2)cc1,0.02
CNCc1ccccc1,9.64
Nc1cccc(Br)c1,3.41
COc1cc(C)ncn1,3.65
CNc1cc[nH]c(=S)n1,11.1
N#CC(C#N)N=Nc1ccc(CCCl)cc1,-0.81
COCc1cccc(COC)n1,3.43
CC1=NCCCC1,9.57
Clc1nc2cc3c(cc2[nH]1)CCCC3,2.68
Cc1nc(C)nc(N)n1,3.6
Cc1cc(N)c(C)cn1,9.68
OCCN(CCO)c1ccccc1,4.11
Nc1ccnc2c1ncn2CCOCP(=O)(O)O,5.52
Cc1cccc(C)c1N(C)C,5.85
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,8.05
N#Cc1ccccc1N,0.95
O=C(O)Cc1nc2ccccc2[nH]1,4.1
NC12CCC(CC1)C2,10.19
c1ccc(C2=Nc3ccccc3CO2)cc1,3.48
O=[N+]([O-])c1ccc(O)c(CN2CCCCC2)c1,10.54
COc1ccc(I)cc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.79
Cc1ccno1,2.3
Nc1ccc(C(=O)c2ccc(N)cc2)cc1,2.92
NC12CCC(C1)C2,9.3
OCCCCCc1cccnc1,5.72
NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,7.455
C=C(C)C1CNC(C(=O)O)C1CC(=O)OC,9.52
COc1ccc(CCN)cc1OC,9.87
COC(=O)c1ccncc1,3.38
CNc1ccccc1C,4.59
NC1(C(=O)O)CCCC1,10.06
CCc1cccnc1,5.57
Nc1c2ccccc2nc2c(N)cccc12,9.3
Cc1cnc2c(cc(C)c3cccnc32)c1C,5.93
CC(Cc1ccccc1)NCCC#N,7.23
Oc1cccc2ccnnc12,2.72
CN(C)CCCN=C(c1ccccc1)c1ccccc1O,9.3
Nc1ccc([N+](=O)[O-])cc1,1.03
CSc1ccc(N)c([N+](=O)[O-])c1,-0.28
Oc1cc2ccccc2cc1C1=NCCN1,10.85
