molecules,label
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,524.0
OC[C@@H](O)[C@@H](O)CO,330.5
CCCCCCCCC,150.8
CCCCc1ccccc1O,235.0
C#CCCC(C)=O,149.0
CCOC(=O)CCCCCCC(=O)OCC,282.6
CC(=O)CBr,138.0
Cc1ccc(C)[nH]1,171.0
CC(=O)C=O,72.0
CCCC=Cc1ccccc1,217.0
Cc1cc(Cl)nn1C,211.0
CCCCCCCCCCCCc1ccccc1,328.0
FC(Br)C(F)(F)Br,76.0
CC1(C)C2C=C[C@]1(C)CC2,146.0
CCCCCOC(=O)CC,168.6
CCO[Si](C)(C)OCC,114.0
CC(C)C(=O)C(C)C,125.4
CC(C)c1cccc(O)c1,228.0
CC1CC=CC1,65.7
c1ccc2c(c1)[nH]c1ccccc12,354.7
CNc1ccc(Cl)cc1,240.0
Cc1cccc(CCl)c1,195.5
S=C1NCCN1,347.18
COC(=O)C(Br)CBr,206.0
C=CC(C)C(C)C,80.8
ClCC(Br)CBr,196.0
O=Cc1cccc(Cl)c1,213.5
O=C=O,-78.48
C#C,-84.7
CCC(C)O,99.5
CCC(=O)C1CCCCC1,196.0
CCOC(=O)CCBr,179.0
CCCC(=O)OC(C)C,130.5
c1ccc(CN2CCOCC2)cc1,260.5
COc1cccc(N)c1,251.0
FC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,62.0
C[Si](Cl)(Cl)CCl,121.5
O=CCCc1ccccc1,224.0
Cc1cn[nH]c1,206.0
CC(C)(C)c1ccccc1O,223.0
CC1=CCCC=C1,107.5
CCC(Br)CC,118.6
Cc1ccc2oc(C)nc2c1,218.5
CC(C)=CC(=O)O,197.0
CC(C)(C)C,9.5
ICI,182.0
CC1=CC[C@@H](C(C)C)CC1,173.75
Cc1ccc(Cl)cc1[N+](=O)[O-],242.0
CC(C)COCC(C)O,165.0
ClCc1cccc(Cl)c1,216.0
C=CCc1ccc(OC(C)=O)c(OC)c1,281.0
CCCCO,117.85
CCc1ccccc1,136.1
CCc1sccc1C,161.0
F[Si](F)(F)c1ccccc1,101.5
CCCC(=O)C(C)(C)C,147.0
CCCCCCc1ccccc1,226.1
Clc1sc(Cl)c(Cl)c1Cl,233.4
CCCCCCCCCCCCCCCBr,322.0
N#Cc1ccco1,147.0
FC(F)(Cl)C(F)(Cl)Cl,47.7
CC#CCCCCCCCC,204.2
C=COC(=O)C(C)C,104.5
SCCS,146.0
COC(=O)CC(O)(CC(=O)OC)C(=O)OC,285.0
ClCc1ccc(Cl)cc1Cl,248.0
CC(O)CC(C)(C)O,198.0
CCC(Cc1ccccc1)c1ccccc1,290.0
COc1cc(C(C)=O)ccc1O,297.0
Cc1ccc(CO)c(C)c1,232.0
Cc1cccc(C(C)(C)C)c1O,230.0
O[C@@H]1CCc2ccccc21,220.0
C1CC2CC12,45.5
CCCCCCCCCCCCCCCCCCC,329.9
CCOc1ccc(C=O)cc1OCC,279.0
CCC(C)(CC)c1ccccc1,205.0
O=C=NC1CCCCC1,172.0
CC(=O)OC(OC(C)=O)c1ccccc1,220.0
CCC1(C)CC1,56.8
CC(CO)(CO)CO,283.0
Nc1ccc(Cl)cc1,232.0
CC(C)CON=O,67.0
FCCCCl,80.0
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,378.0
CCCCOC(=O)c1ccccc1O,271.0
BrCC(Br)Br,188.93
CC(C)=CCO,140.0
CC1=C(C)CCC1,105.8
CC=Cc1ccc(OC)cc1,234.5
CC(C)(C)ON=O,63.0
C=CCOCCO,158.5
CCCCCN1CCCCC1,198.2
CCC(C)(C)CCC(C)C,152.8
NCCCCCN,179.0
CC(=O)C(C)(C)C(C)=O,173.0
C=CCCCC,63.4
CCCCCCCCCCCCCCCCCCCCCCCCCCC,442.0
CCCCCCC(O)CCC,210.5
CCCCCC(CO)CCC,217.5
CC1=CCCCCC1,136.0
CCCCOC(=O)CC#N,231.0
BrCBr,97.0
COC(=O)C(=O)OC,163.5
CCN1CCOCC1,138.5
CCCO[N+](=O)[O-],110.0
CC(C)NC(C)(C)C,98.0
Sc1ccc(Cl)cc1,206.0
CC[SiH](CC)CC,109.0
CCCCCCCCCCCCCCO,289.0
COCC(F)(F)C(F)C(F)(F)F,87.5
Cc1cc(C)c(C)c(C)c1C,232.0
Fc1ccccc1I,188.6
SCCCS,172.9
CC[C@@H](O)[C@@H]1CCCCN1,226.0
FC(Cl)C(Cl)Cl,102.0
CC(=O)Oc1cccc(O)c1,283.0
Cc1ccc(N)c(Cl)c1,220.0
C#CC=C,5.1
CCCCCC(C)N,142.0
CC1(C)C2CC3OC3(C)C1C2,185.0
CC(Br)CCBr,174.0
CN(C)P(=O)(N(C)C)N(C)C,232.5
COc1ccc(OC)c(C=O)c1,270.0
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,375.0
CC(C)C1CC1,58.3
C1=CC=CC=CC=C1,140.5
c1ccc(-c2ccncc2)cc1,281.0
CCC=CCC=O,121.0
COCCCCl,111.0
CI,42.5
C=CCNc1ccccc1,219.0
CC(=O)C1=CCCCC1,201.5
CC(C)CC(=O)c1ccccc1,236.5
CC(=O)c1ccc(Br)cc1,257.0
NC(=O)CCl,225.0
Cc1ccc(OC(=O)c2ccccc2)cc1,316.0
Cc1cccc(C=O)c1,199.0
CCC(C)CC(CC)CC,158.2
CCCCNC,91.0
CC(C)(C#N)C#N,169.5
C=C1CCC2CC1C2(C)C,166.0
CC(=O)N(C)c1ccccc1,256.0
C=CC(OCC)OCC,123.5
C=Cc1ccc(C(C)C)cc1,204.1
CCc1ccc(O)cc1,217.9
N#CC1CC1,135.1
C(#Cc1ccccc1)c1ccccc1,300.0
c1ccc(OCC2CO2)cc1,245.0
CCOC(=O)C(Cc1ccccc1)C(=O)OCC,300.0
C[Si](C)(C)Oc1ccccc1,119.0
C=COC(C)(C)C,75.0
CCCCS(=O)(=O)CCCC,291.0
C=COCC,35.5
CO[N+](=O)[O-],64.6
c1ccc2occc2c1,174.0
CCCCCC(=O)CCCCC,228.0
CCC(CC)COC(C)=O,162.5
CC(C)CCOCc1ccccc1,237.0
C=O,-19.1
CC=CC(OCC)OCC,147.5
CC(C)CN,68.5
OCCCF,127.8
CCC1CO1,63.3
CCC(C)COC,90.0
O=C(O)Cc1ccccc1O,240.0
CCCCCCCCCCN,220.5
C=C1CC(=O)O1,126.1
CC(Br)C(Br)CBr,220.0
C=COC(C)=O,72.5
CCCCCC(C)Br,166.0
CCC1CCc2ccccc2C1,235.0
CC(=O)O[Si](C)(C)OC(C)=O,165.0
O=C(c1ccccc1)c1cccnc1,307.0
Fc1cc(F)cc(F)c1,75.5
Oc1ccc(F)cc1,185.5
CSCc1ccccc1,210.0
CCC=C(C)CCC,121.0
CCCC(C)(C)CC(C)C,151.0
Cc1ccc(CC(C)C)cc1,196.0
C(=C/c1ccccc1)\c1ccccc1,306.75
CCCCCCC[N+](=O)[O-],194.0
CCC1CCCCC1,131.9
C=CC(OC(C)=O)OC(C)=O,180.0
CCOC(=O)C(=O)Cl,137.0
O=COCC=Cc1ccccc1,252.0
Cc1cc(C)cc(C(C)(C)C)c1,207.0
CCCCCCCCCCCCCCN,291.2
CC(S)CS,152.0
N#Cc1ccccc1Br,252.0
CCCCCCCC(C)C,167.1
Brc1ccsc1,150.0
C=CC(CC)CC,84.1
C=CCOC(=O)Cl,109.5
CC(C)(C)CC(C)(C)N,140.0
CCCCC(CC)CCC,163.7
ClCCBr,107.0
C1CCC(CCCC2CCCC2)CC1,270.0
CC(C)(C)c1ccc(Cl)cc1,213.0
CC#CCO,148.0
CN(C)c1ccc(N(C)C)cc1,260.0
O=[N+]([O-])OCCO[N+](=O)[O-],198.5
O=C1CCCCCN1,270.0
CC(C)(O)C(=O)O,212.0
CCCOC(=O)OCCC,168.0
O=C=NS(=O)(=O)Cl,107.0
CCCC(C)(O)CCC,161.0
CCOCCl,83.0
CCc1ccccc1CC,184.0
COc1ccccc1,153.7
Cn1cccc1,115.0
CP(C)C,37.5
CC1(C)CC(N)CC(C)(CN)C1,247.0
CC(C)=CCCl,109.0
CCOc1cccc(C=O)c1O,263.5
CCC(CC)C(C)(C)CC,162.9
Cc1cc(O)c(C)c(C)c1C,266.0
CCCCC#N,141.3
CCCCB(Cl)CCCC,173.0
CN(C)CCC#N,173.0
CC1Cc2ccccc2C1,195.0
CC(CCl)CCl,136.4
O=C1CCCC1C1CCCC1,232.5
CC(=O)OC(C)(C)C,97.0
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,414.0
CC1CCCc2ccccc21,220.6
CCBr,38.5
O=C(OC(=O)C(F)(F)F)C(F)(F)F,39.5
C=CCI,103.0
CCCCC(=O)OC,127.4
CCOP(Cl)OCC,153.0
CCC(CC)CCC(C)C,159.7
CCOc1cc(Cl)c(N)c(Cl)c1,275.0
C1=CCCCCC1,115.0
CCCCC(C)(C)C(C)C,160.2
Cc1ccc(I)cc1,211.0
CCCCCCCCCCCCCCCCCO,333.0
CCc1cccc(C)c1C,194.0
NCc1cccc(CN)c1,247.0
C=CCCCCCCCCCO,250.0
Oc1ccccc1Cl,174.9
Oc1ccc(O)cc1,287.0
CC1(C)CCCc2ccccc21,221.0
CCC(C)SC(C)CC,165.0
CNC(C)C,50.4
CCOP(=O)(C#N)N(C)C,240.0
CC=CC(=O)O,184.85
OCCC1CCCCN1,202.0
CCCCCCCCCCCCCCCCCCN=C=O,300.0
CCN(CC)CN(CC)CC,165.8
C=C(CCl)CCl,138.0
C=C(C)C#N,90.3
