measured log solubility in mols per litre,molecules
-3.043,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C
-6.8,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
-0.73,Cc1ccc(O)cc1
-4.593999999999999,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
-1.99,N=C(N)NS(=O)(=O)c1ccc(N)cc1
-2.17,CCOc1ccc(NC(N)=O)cc1
-1.28,CNc1ccccc1
-2.39,CSc1ccccc1
-4.73,Oc1c2ccccc2cc2ccccc12
-4.14,Cc1ccc(C)c2ccccc12
-2.696,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O
-2.452,CCCOC(=O)c1ccc(N)cc1
-0.59,CC1CO1
-3.68,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
-1.989,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
-2.35,CC1CCC(C(C)C)C(=O)C1
-4.22,Nc1cccc2nc3ccccc3cc12
-1.99,Oc1ccc2c(c1)CCCC2
-1.52,c1ccc2[nH]ccc2c1
-2.98,CN(C)C(=O)C(c1ccccc1)c1ccccc1
-3.03,CC1=CC(=O)c2ccccc2C1=O
-4.14,Clc1ccc2ccccc2c1
-2.273,O=c1ccnc(S)[nH]1
-3.96,C1=Cc2cccc3cccc1c23
-6.02,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
-2.7,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
-3.0,CCOC(=O)C=Cc1ccccc1
-1.29,Cc1cccc(C)c1O
-0.36,Nc1nccs1
-2.19,Nc1cccc([N+](=O)[O-])c1
-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1
-0.96,NC(=O)c1ccccc1
-0.85,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O
-5.89,Cc1c2ccccc2cc2ccccc12
-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-2.55,O=[N+]([O-])c1ccccc1Cl
-2.084,CCNc1nc(NC(C)C)nc(OC)n1
-0.74,O=[N+]([O-])c1ccc(O)cc1
-1.3,Oc1cccc(Cl)c1Cl
-4.4110000000000005,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1
-2.55,OC(c1ccccc1)c1ccccc1
-4.445,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
-2.461,Cc1cc(C(=O)NNCc2ccccc2)no1
-3.31,Cc1ccc(C)c(C)c1
-1.742,CC1(C)C(=O)NC(=O)NC1=O
0.36,Cc1ccncc1C
-3.953,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
-3.52,Cc1ccccc1Cl
-3.85,CC1CCCCC1
-3.5860000000000003,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
-4.632,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
-2.57,CON(C)C(=O)Nc1ccc(Cl)cc1
-2.266,O=c1[nH]cnc2[nH]ncc12
-3.46,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
-0.7,Oc1cccc(Cl)c1
-8.49,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
-3.3,Cc1occc1C(=O)Nc1ccccc1
-4.432,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
-3.18,C1=CCCCCC1
-4.6,c1ccc2c(c1)oc1ccccc12
-4.0,CCNc1nc(NC(C)(C)C)nc(SC)n1
1.02,Oc1ccncc1
-4.59,Cc1cc(C)c(C)cc1C
-1.64,c1ccccc1
-1.85,CC12CCC(C1)C(C)(C)C2=O
-0.244,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
-3.8,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-4.871,CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21
-3.04,Clc1cccc(Cl)c1
-1.886,O=C1NC(=O)C2(CC2)C(=O)N1
-4.07,Brc1ccc(Br)cc1
-3.08,Cc1ccc(Cl)cc1
-1.827,COC(=O)c1ccc(O)cc1
-3.27,CC(C)c1ccccc1
-1.84,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O
-1.506,Cc1c[nH]c(=O)[nH]c1=O
-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl
-7.2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
-6.51,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
-6.291,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
-5.284,CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
-5.56,Clc1cc(Cl)c(Cl)cc1Cl
0.38,Cc1cncc(C)c1
-5.46,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
-1.13,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
-0.1,O=Cc1ccco1
-5.071000000000001,CCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-5.47,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
0.0,Oc1ccccc1
-3.13,CC=Cc1ccc(OC)cc1
0.61,NC(=O)c1cccnc1
-4.12,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
-6.57,Cc1c2ccccc2c(C)c2ccccc12
-4.749,CCN1c2ccccc2C(=O)N(C)c2ccccc21
-3.638,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC
-3.03,CCN(CC)c1ccccc1
-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
-5.915,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1
-4.06,CCCCc1ccccc1
-3.27,Clc1ccc(Cl)cc1
-4.7,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1
-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
-1.601,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC
-0.92,CC(O)c1ccccc1
-3.754,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
-1.96,Nc1ccccc1[N+](=O)[O-]
-3.37,CCCc1ccccc1
-2.863,CNC(=O)Oc1ccccc1C(C)C
-2.77,O=[N+]([O-])c1cccc(Cl)c1
-3.3,CC1CCCC1
-3.239,CCNc1nc(NC(C)(C)C)nc(OC)n1
-2.356,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
-2.82,C=Cc1ccccc1
-6.523,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-1.655,O=C1NC(=O)C2(CCC2)C(=O)N1
-0.68,Cc1cccc(O)c1
-5.72,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
-3.224,CNC(=O)Oc1cccc2ccccc12
-2.404,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
-1.96,COc1ccccc1O
-2.39,ClCc1ccccc1
-3.93,Clc1cccc2ccccc12
