molecules,eye_corrosion
O=C(c1ccccc1)C(Br)c1ccccc1,1.0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0.0
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,0.0
CCCCNc1c2c(nc3ccccc13)CCCC2,0.0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.0
NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.0
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.0
CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,0.0
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,0.0
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,0.0
COC1C(O)C(C)OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,0.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,0.0
Cc1cc(C(=O)NNCc2ccccc2)no1,0.0
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,0.0
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0.0
CC=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,0.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0.0
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0.0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0.0
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0.0
S=C=NC1CCCCC1,1.0
CN(C)CCOc1ccccc1Cc1ccccc1,0.0
Cl[Si](c1ccccc1)(c1ccccc1)c1ccccc1,1.0
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,0.0
Cn1ccnc1,1.0
NC1CC1c1ccccc1,0.0
CNCCCC12CCC(c3ccccc31)c1ccccc12,0.0
CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1,0.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0.0
O=c1c(-c2ccccc2)c1-c1ccccc1,0.0
CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0.0
C=C1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,0.0
CN(C)CCC=C1c2ccccc2COc2ccccc21,0.0
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,0.0
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O,0.0
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,0.0
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0.0
NC(=O)N1c2ccccc2CC(O)c2ccccc21,0.0
CC1CCCCC1N,1.0
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,0.0
N=C(N)c1ccc(CNC(=O)C2CCN2C(=O)C(NCC(=O)O)C2CCCCC2)cc1,0.0
O=S(=O)(Cl)c1ccc(Cl)s1,1.0
COc1ccc2cccc(CCNC(C)=O)c2c1,0.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,0.0
Nc1[nH]c(=O)ncc1F,0.0
Cc1oc(=O)oc1COC(=O)N1CCC(N2CC=C(C=C3CSC4C(NC(=O)C(=NO)c5nsc(N)n5)C(=O)N4C3C(=O)O)C2=O)C1,0.0
COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,0.0
C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,0.0
CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C,0.0
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,0.0
C1CN1c1nc(N2CC2)nc(N2CC2)n1,0.0
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0.0
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,0.0
Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,0.0
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,0.0
C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(N)n3)C2SC1,0.0
NCCN1CCOCC1,1.0
CC1(C)C(C(=O)O)N2C(=O)CC2S1(=O)=O,0.0
CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,0.0
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,0.0
Cc1ccc(C(=CCN2CCCC2)c2cccc(C=CC(=O)O)n2)cc1,0.0
CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,0.0
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,0.0
CC(c1cc2ccccc2s1)N(O)C(N)=O,0.0
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,0.0
Oc1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,0.0
O=C1OCCN1P(=O)(Cl)N1CCOC1=O,1.0
Cc1ccccc1C(OCCN(C)C)c1ccccc1,0.0
CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,0.0
CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,0.0
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.0
NCCN1CCCC1,1.0
CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,0.0
O=C(CBr)c1ccc2ccccc2c1,1.0
NC(=O)N1c2ccccc2C=Cc2ccccc21,0.0
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0.0
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,0.0
NCCc1cccs1,1.0
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.0
CN1C(C(=O)Nc2ccccn2)=C(OC(=O)C=Cc2ccccc2)c2ccccc2S1(=O)=O,0.0
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.0
ClC(c1ccccc1)c1ccccc1,1.0
CC12CC(C=O)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,0.0
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,0.0
CC(O)C1C(=O)N2C(C(=O)O)=C(SCCN=CN)CC12,0.0
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,0.0
CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,0.0
C=C1CC(O)C(C=CC(O)C(C)(C)CCCC)C1CC=CCCCC(=O)O,0.0
O=c1[nH]c(O)cn1N=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1,0.0
COc1ccc2c(c1)c(CC(=O)OCC(C(=O)O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,0.0
CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,0.0
CCCCCCCCn1sccc1=O,1.0
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,0.0
