expt,molecules
-9.44,Nc1cccc2c1C(=O)c1ccccc1C2=O
-5.51,Cc1cnccn1
-3.37,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2
-8.26,CC(=O)c1cccnc1
-5.48,C1CCNC1
-3.95,c1ccc2cc3ccccc3cc2c1
-2.7,c1ccc(-c2ccccc2)cc1
-5.04,CC(C)Cc1cnccn1
-4.05,Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2
-4.72,Cc1ccc(C)nc1
-6.75,N#Cc1cccnc1
-4.91,O=C1CCCCC1
-7.63,c1ccc(Cn2ccnc2)cc1
0.14,C1=CCCCC1
-3.81,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2
-2.87,c1ccc(Oc2ccccc2)cc1
-7.62,CC(=O)c1ccncc1
-4.73,CCc1ccncc1
-7.67,Oc1cccc2ccccc12
-4.38,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
-4.15,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
-3.56,Clc1cc2c(cc1Cl)Oc1ccccc1O2
-3.44,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]([C@H](Cl)C[C@@H]3Cl)[C@@]1(Cl)C2(Cl)Cl
-4.93,Cc1ccncc1
-6.48,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
-3.12,C1CCOCC1
-4.59,Cc1cccc(C)n1
-9.8,CC(=O)N1CCCC1
-4.69,c1ccncc1
-5.06,C1COCCO1
-2.63,Cc1ccc2cc(C)ccc2c1
-2.28,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
-5.49,OC1CCCC1
-5.18,CC1=CC(=O)CC(C)(C)C1
-14.21,O=C1c2ccccc2C(=O)c2c(NCCO)cccc21
-6.02,N#Cc1ccncc1
-7.47,Nc1ccc2ccccc2c1
-3.71,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
-9.61,O=C1NC(=O)c2ccccc21
-25.47,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
-3.52,Clc1cccc2c1Oc1ccccc1O2
-7.58,CN1CCN(C)CC1
-5.22,Cc1ccncc1C
-18.06,O=c1[nH]c(=O)[nH]c(=O)[nH]1
2.55,CCCCCC1CCCC1
-3.84,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2
0.67,CC1=CCCCC1
-7.17,C1COCCN1
-4.77,Cc1cccnc1
-3.48,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl
-4.1,COC(=O)C1CC1
-5.04,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
-2.69,Clc1ccccc1-c1ccccc1
-2.47,Cc1cc(C)c2ccccc2c1
-5.74,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O
-4.82,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@H]45)[C@H]3[C@@]1(Cl)C2(Cl)Cl
-2.46,Clc1ccc(Cl)c(-c2ccccc2)c1
-9.53,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O
-1.46,c1ccc2c(c1)CCC2
-4.86,Cc1ccnc(C)c1
-2.78,Cc1cc2ccccc2cc1C
-0.99,C1=CC=CCC=C1
-2.44,Cc1cccc2ccccc12
-20.52,O[C@@H]1[C@@H](O)[C@@H](O)OC[C@H]1O
-2.98,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-3.35,c1ccc2c(c1)Cc1ccccc1-2
-3.15,c1ccc2c(c1)Oc1ccccc1O2
-7.0,O=Cc1ccncc1
-10.21,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
-8.42,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
-7.43,CN(C)CCC=C1c2ccccc2CCc2ccccc21
-4.84,Cc1cncc(C)c1
-3.1,Clc1ccc2c(c1)Oc1ccccc1O2
-3.75,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1
0.75,C1CC1
-4.33,CCc1ccccn1
-1.96,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
-4.82,Cc1cccnc1C
-4.09,C=C(C)[C@@H]1CC=C(C=O)CC1
-6.5,O=C1C=CC(=O)C=C1
-4.01,Clc1cccnc1
-2.4,c1ccc2ccccc2c1
-8.11,Oc1ccc2ccccc2c1
-9.4,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
-3.04,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
-11.85,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O
-5.45,CCc1cnccn1
-11.53,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
-5.88,Cc1c[nH]c2ccccc12
-9.34,CN(C)CCOC(c1ccccc1)c1ccccc1
-3.3,C[C@H]1CCCO1
-2.16,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1
-3.67,Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2
-4.53,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
-4.59,CCc1cccnc1
-7.28,Nc1cccc2ccccc12
-4.51,CC1=CC(=O)[C@H](C(C)C)CC1
-2.55,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl
-2.4,CCc1cccc2ccccc12
-6.32,CN1CCOCC1
-4.23,O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl
-7.77,CN1CCNCC1
-7.4,C1CNCCN1
-7.1,O=Cc1cccnc1
-9.41,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C
-4.4,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-4.44,C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1
-5.72,c1ccc2ncccc2c1
-5.11,C1CCNCC1
-3.88,CN1CCCCC1
1.2,C1CCCC1
-4.61,CC(=O)C1CC1
-2.53,CC(C)[C@@H]1CC[C@@H](C)CC1=O
-4.63,Cc1ccccn1
-2.82,Cc1ccc(C)c2ccccc12
-9.45,CNC(=O)Oc1cccc2ccccc12
2.13,CCCC1CCCC1
-2.92,C[C@H]1CC[C@H](C)O1
-3.47,C1CCOC1
-4.61,Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
-3.17,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl
-3.61,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1
1.59,CC1CCCC1
-4.39,Clc1ccccn1
-5.48,OC1CCCCCC1
-0.11,FC(F)(F)[C@H](Cl)Br
-2.56,CCCCC(=O)OC
-3.22,CC(C)NC(C)C
-0.56,CCCBr
-4.09,CCCCCN
2.71,CCC[C@H](C)CC
-1.89,ClCCCCl
2.67,CCCCCCC
2.89,CC(C)CC(C)(C)C
-5.0,CCO
-0.7,S
2.51,CCCC(C)C
-4.09,CCCCCCCCO
-1.21,CC(C)SC(C)C
-2.81,CCCCCC=O
2.0,C
-10.0,CNC(C)=O
-4.59,COC(CCl)(OC)OC
-2.13,CC(C)CCOC=O
-4.37,CCOP(=S)(OCC)SCSCC
-4.42,CC[C@@H](C)CO
-8.18,O=[N+]([O-])OCCO
2.34,CC(C)C(C)C
0.68,C=CC(=C)C
0.52,CCCCCCCCBr
-6.4,CCCOCCO
